jogador,time,ano
Ramires,6079,2024
Lucas Evangelista,6079,2024
Lincoln,6079,2024
Gabriel Lopes,6079,2024
João Neto,6079,2024
Gustavinho,6079,2024
Raul,6079,2024
Yuri Leles,6079,2024
Riquelme,6079,2024
Matheus Fernandes,6079,2024
Kelvin Florez,6079,2024
Victor Hugo De Faria Mota,6079,2024
Marquinhos,6079,2024
Chumbinho,6079,2024
Johan Caicedo,6079,2024
Dija,6079,2024
Ivan Cavaleiro,6079,2024
Rai,6079,2024
Thiago Borbas,6079,2024
Eduardo Sasha,6079,2024
Arthur Sousa Araújo,6079,2024
Vitinho,6079,2024
Henry Mosquera,6079,2024
Kauê Ricardo,6079,2024
João Vitor Campos De Assis Ataide,6079,2024
Filipe,6079,2024
André Ricardo,6079,2024
Vinicinho,6079,2024
Juliano Viana Papille,6079,2024
Gabriel,6270,2024
Claus,6270,2024
Mário,6270,2024
Lucas Wingert,6270,2024
João,6270,2024
Ze Marcos,6270,2024
Danilo Boza,6270,2024
Gabriel Inocencio,6270,2024
Ewerton,6270,2024
Mateus Gabriel Schaffer,6270,2024
João Vitor,6270,2024
Abner,6270,2024
Alan Ruschel,6270,2024
Rodrigo Sam,6270,2024
Cauã Da Rocha,6270,2024
Lucas Freitas,6270,2024
Romércio,6270,2024
Yan,6270,2024
Luis,6270,2024
Thiaguinho,6270,2024
Nenê,6270,2024
Kelvi,6270,2024
Jádson,6270,2024
Jean,6270,2024
Lucas Barbosa,6270,2024
Dudu,6270,2024
Luis Mandaca,6270,2024
João Victor Trevisol Da Silva,6270,2024
Peixoto,6270,2024
Davi Goes Silva Ferreira Carvalho,6270,2024
Ronaldo,6270,2024
Erick,6270,2024
Gilberto,6270,2024
Marcelinho,6270,2024
Diego,6270,2024
Edson Guilherme Mendes dos Santos,6270,2024
David Conceição,6270,2024
Gabriel Taliari,6270,2024
Pinna,6270,2024
Ronie Carrillo,6270,2024
Caique,6270,2024
Walter,17313,2024
Rhyan,17313,2024
Mateus,17313,2024
Felipe Lopes,17313,2024
Matheus Alexandre,17313,2024
Marllon,17313,2024
Marcelo Henrique,17313,2024
Guilherme Madruga,17313,2024
Hernandes,17313,2024
Ramon,17313,2024
Vinicius Dorneles,17313,2024
Alan Empereur,17313,2024
Bruno Alves,17313,2024
Renan,17313,2024
Vinicius Bertuchi,17313,2024
Gabriel Knesowitsch,17313,2024
Jadson,17313,2024
Juan Pablo,17313,2024
Luisão,17313,2024
Mateusinho,17313,2024
Filipe Augusto,17313,2024
Max,17313,2024
Eduardo Vinícius,17313,2024
Luiz Felipe,17313,2024
Lucas Fernandes,17313,2024
David Miguel De Souza Arcanjo,17313,2024
Railan,17313,2024
Clayson,17313,2024
Niltinho,17313,2024
Denilson,17313,2024
Lucas Mineiro,17313,2024
Thomas,17313,2024
Lucas di Almeida,17313,2024
João Vitor,17313,2024
Guilherme Sousa,17313,2024
Rian Patric,17313,2024
Kauan,17313,2024
Tarcísio Muniz,17313,2024
Fernando Sobral,17313,2024
Jonathan Cafú,17313,2024
Isidro Pitta,17313,2024
Eliel,17313,2024
Gustavo Sauer,17313,2024
Derik Lacerda,17313,2024
Dyego,17313,2024
Titto,17313,2024
Bibi,17313,2024
Gabryel Vinicius,17313,2024
André Luis,17313,2024
Ronaldo,10357,2024
Emerson  Júnior,10357,2024
Pedro Rangel,10357,2024
Philipe Sampaio,10357,2024
Pedrão,10357,2024
Maguinho,10357,2024
Luiz Felipe,10357,2024
Guilherme Romão,10357,2024
Alix Vinicius,10357,2024
Yeferson Rodallega,10357,2024
Adriano Martins Da Fonseca,10357,2024
Marcao,10357,2024
Rafael Haller,10357,2024
Hygor,10357,2024
Kauã Moura,10357,2024
Mateus Macedo,10357,2024
Luiz Gustavo,10357,2024
Gustavo Daniel,10357,2024
Gonzalo Freitas,10357,2024
Gustavo Campanharo,10357,2024
Angelo Araos,10357,2024
Shaylon,10357,2024
Gabriel Baralhas,10357,2024
Rhaldney,10357,2024
Roni,10357,2024
Matías Lacava,10357,2024
Randerson De Sousa Almeida,10357,2024
Gustavo Almeida,10357,2024
Rai,10357,2024
Jean Carlos Alves Ferreira,10357,2024
Jorginho,10357,2024
Derek,10357,2024
Joel Campbell,10357,2024
Luiz Fernando,10357,2024
Bruno,10357,2024
Jan Hurtado,10357,2024
Alejo Cruz Techera,10357,2024
Eli Silvano Kovalik Junior,10357,2024
Emiliano Rodríguez,10357,2024
Max,10357,2024
Sandrinho,10357,2024
Pedro Geovane Paranhos Santos,10357,2024
Janderson,10357,2024
