nome,espn_id,posicao,idade,altura,nacionalidade
Philippe Coutinho,130372,MEIO-CAMPO,32,1.73,Brasil
Guilherme Estrella,379581,MEIO-CAMPO,19,,Brasil
Emerson Rodríguez,308522,MEIO-CAMPO,24,1.75,Colômbia
Paulinho,289499,MEIO-CAMPO,27,1.75,Brasil
Juan Sforza,297055,MEIO-CAMPO,22,1.8,Argentina
Jean Meneses,206320,MEIO-CAMPO,31,1.65,Chile
Hugo Moura,269924,MEIO-CAMPO,26,1.83,Brasil
Maxime Dominguez,233707,MEIO-CAMPO,28,1.73,Suíça
Pablo Galdames,34390,MEIO-CAMPO,27,1.75,Chile
Adson,315293,MEIO-CAMPO,24,1.68,Brasil
Rossi,198111,MEIO-CAMPO,31,1.7,Brasil
Lucas Eduardo De Souza Oliveira,357312,MEIO-CAMPO,20,,Brasil
Leandrinho,379377,MEIO-CAMPO,19,1.7,Brasil
Matheus Carvalho,346179,MEIO-CAMPO,22,1.75,Brasil
JP,379268,MEIO-CAMPO,19,1.75,Brasil
Bruno Lopes,379267,ATACANTE,17,,Brasil
David,219005,ATACANTE,29,1.78,Brasil
Alegria,379239,ATACANTE,20,,Brasil
Rayan Rocha,357719,ATACANTE,18,1.85,Brasil
Alex Teixeira,114031,ATACANTE,34,1.73,Brasil
Pablo Vegetti,176895,ATACANTE,36,1.88,Argentina
Gabriel Souza Da Silva,357722,ATACANTE,19,,Brasil
Gabriel Delfim,318191,GOLEIRO,22,1.91,Brasil
Pedro Cobra,376488,GOLEIRO,18,1.93,Brasil
Éverson,223953,GOLEIRO,34,1.93,Brasil
Robert,383039,GOLEIRO,19,,Brasil
Matheus Mendes,302601,GOLEIRO,25,1.91,Brasil
Gabriel Atila,338972,GOLEIRO,21,1.93,Brasil
Lyanco,220747,DEFENSOR,27,1.88,Brasil
Bruno Fuchs,257050,DEFENSOR,25,1.91,Brasil
Mauricio Lemos,199024,DEFENSOR,28,1.78,Uruguai
Júnior Alonso,181657,DEFENSOR,31,1.85,Paraguai
Guilherme Arana,207269,DEFENSOR,27,1.75,Brasil
Igor Rabello,212879,DEFENSOR,29,1.91,Brasil
Mariano,101283,DEFENSOR,38,1.83,Brasil
Renzo Saravia,184717,DEFENSOR,31,1.88,Argentina
Renan Santana,359417,DEFENSOR,19,1.8,Brasil
David Kauã,361448,DEFENSOR,19,1.83,Brasil
Rubens,311146,DEFENSOR,23,1.75,Brasil
Julio César,381174,DEFENSOR,20,,Brasil
Rômulo,318189,DEFENSOR,20,1.83,Brasil
Vitor Reis,358752,DEFENSOR,18,1.75,Brasil
Otávio,201547,MEIO-CAMPO,30,1.73,Brasil
Gustavo Scarpa,205074,MEIO-CAMPO,30,1.75,Brasil
Matías Zaracho,241988,MEIO-CAMPO,26,1.7,Argentina
Igor Gomes,268472,MEIO-CAMPO,25,1.83,Brasil
Fausto Vera,272319,MEIO-CAMPO,24,1.78,Argentina
Bernard,158272,MEIO-CAMPO,32,1.65,Brasil
Rodrigo Battaglia,152706,MEIO-CAMPO,33,1.88,Argentina
Alan Franco,262111,MEIO-CAMPO,26,1.75,Equador
Paulo Vitor,361977,MEIO-CAMPO,20,,Brasil
Mateus Iseppe,383036,MEIO-CAMPO,18,,Brasil
Zé Phelipe,383040,MEIO-CAMPO,19,,Brasil
Victor Hugo,322751,MEIO-CAMPO,21,1.73,Brasil
João Rafael,381173,MEIO-CAMPO,19,,Brasil
Alisson Santana,359420,MEIO-CAMPO,19,1.73,Brasil
Hulk,124068,ATACANTE,38,1.83,Brasil
Deyverson,192710,ATACANTE,33,1.88,Brasil
Paulinho,258271,ATACANTE,24,1.78,Brasil
Eduardo Vargas,169773,ATACANTE,34,1.75,Chile
Alan Kardec,98428,ATACANTE,35,1.88,Brasil
Lucas Louback,383035,ATACANTE,18,,Brasil
Brahian Palacios,315583,ATACANTE,21,1.78,Colômbia
Robert Santos,379742,ATACANTE,21,1.8,Brasil
Caio Maia,359419,ATACANTE,19,1.75,Brasil
Carlos Eduardo,338970,ATACANTE,20,1.78,Brasil
Agustín Marchesín,195663,GOLEIRO,36,1.88,Argentina
Thiago Stallbaum,379334,GOLEIRO,21,,Brasil
